"Sample_ID","Species_Name","Scientific_Name","PacFIN_Species_Code","RecFIN_Species_Code","Year","Project_ID","Capture_Date","CRFS_District","Port","Vessel","CDFW_Vessel_Number","Institution","Fork_Length_mm","Sex","Maturity","Comments"
"202410-1012-12758-GSPT-695","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-27,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",300,"F","1",NA
"202405-1012-12758-GSPT-167","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-29,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",323,"M","1",NA
"202310-1012-39022-GSPT-390","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-15,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",281,"F","1",NA
"202404-1012-73873-GSPT-17","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-01,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",265,"M","0",NA
"202404-1012-28054-GSPT-63","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-29,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",352,"M","1",NA
"202311-1012-12758-GSPT-509","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-30,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",353,"F","1","Gut cut open"
"202411-1012-12758-GSPT-844","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-29,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",381,"F","1",NA
"202412-1012-12758-GSPT-885","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-20,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",336,"F","1",NA
"202311-1012-73873-GSPT-317","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-24,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",384,"F","1","stage = 5"
"202311-1012-05978-GSPT-378","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-28,"District 5 - Wine","Shelter Cove","Sea Hawk","05978","HSU",387,"F","1",NA
"202311-1012-12758-GSPT-552","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",326,"F","1",NA
"202412-1012-12758-GSPT-926","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-20,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",315,"M","1",NA
"202411-1012-12758-GSPT-816","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-29,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",396,"M","1",NA
"202410-1012-06810-GSPT-773","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-19,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",266,"M","0",NA
"202404-1012-28054-GSPT-72","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-29,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",335,"F","1",NA
"202410-1012-12758-GSPT-692","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-27,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",371,"F","1","GILL FILAMENT CLIP CONTAMINATED WITH OTHER SAMPLES"
"202405-1012-28054-GSPT-190","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-31,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",344,"M","1",NA
"202408-1012-04990-GSPT-493","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-07,"District 1 - South","Marina Del Rey","Betty-O","04990","SIO",190,"U","UNK","MISSIDENTIFIED AS A STARRY ROCKFISH; PERFORATED GUT - CANNOT SEX"
"202306-1012-38325-GSPT-37","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-24,"District 3 - Central","Moss Landing","Kahuna","38325","MLML",306,"F","1",NA
"202411-1012-28054-GSPT-931","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-30,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",369,"M","1",NA
"202306-1012-38325-GSPT-44","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-24,"District 3 - Central","Moss Landing","Kahuna","38325","MLML",385,"M","1",NA
"202311-1012-28054-GSPT-811","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-25,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",384,"M","1",NA
"202307-1012-12758-GSPT-204","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-07-30,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",258,"M","0",NA
"202404-1012-73861-GSPT-61","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-24,"District 3 - Central","Santa Cruz","Big Anchovy","73861","MLML",328,"F","1","stage = 3"
"202311-1012-28054-GSPT-812","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-25,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",384,"M","1",NA
"202412-1012-12758-GSPT-943","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-19,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",318,"M","1",NA
"202311-1012-12758-GSPT-568","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",309,"F","1",NA
"202411-1012-28054-GSPT-934","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-30,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",335,"F","1",NA
"202404-1012-16699-GSPT-4","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-30,"District 1 - South","Long Beach","Eldorado","16699","SIO",370,"M","1","VESSEL CREW IDENTIFIED FISH AS GREENBLOTCHED"
"202310-1012-12758-GSPT-399","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-26,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",362,"F","1",NA
"202311-1012-12758-GSPT-562","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",301,"F","1",NA
"202408-1012-12758-GSPT-425","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-30,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",355,"F","1",NA
"202311-1012-28054-GSPT-820","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-25,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",415,"M","1",NA
"202404-1012-28054-GSPT-59","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-29,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",375,"M","1",NA
"202406-1012-12758-GSPT-225","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-06-21,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",367,"M","1",NA
"202310-1012-12758-GSPT-423","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-26,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",312,"F","1",NA
"202404-1012-06810-GSPT-36","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-25,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",315,"F","1","Frozen no fin clips collected"
"202307-1012-73873-GSPT-22","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-07-03,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",415,"M","1",NA
"202408-1012-04990-GSPT-487","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-30,"District 1 - South","Marina Del Rey","Betty-O","04990","SIO",176,"M","0",NA
"202311-1012-28054-GSPT-789","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-10,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",328,"M","1","ID AS GREENSTRIPED ON TAG BUT ACTUALLY GREENSPOTTED"
"202306-1012-38325-GSPT-27","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-24,"District 3 - Central","Moss Landing","Kahuna","38325","MLML",308,"F","1",NA
"202404-1012-73861-GSPT-56","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-18,"District 3 - Central","Santa Cruz","Big Anchovy","73861","MLML",312,"F","1",NA
"202410-1012-06810-GSPT-851","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-10,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",251,"M","0",NA
"202412-1012-12758-GSPT-912","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-12-19,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",359,"M","1",NA
"202311-1012-28054-GSPT-790","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-10,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",349,"M","1","ID AS GREENSTRIPED ON TAG BUT ACTUALLY GREENSPOTTED"
