"CRFS_District","X2022","X2023","X2024","X2025","Total"
"District 1","53","546","1,081","2,312","3,992"
"District 2","458","1,007","1,028","1,898","4,391"
"District 3","144","419","670","1,568","2,801"
"District 4","240","260","429","1,591","2,520"
"District 5","0","551","1,151","1,298","3,000"
"District 6","0","309","689","927","1,925"
"Unknown","0","0","0","2","2"
"Coastwide Total","895","3,092","5,048","9,596","18,631"
